Instrument,Aperture,V2_Ref,V3_Ref,V3_IdlYAngle,V2_1,V2_2,V2_3,V2_4,V3_1,V3_2,V3_3,V3_4
NIRCam,NRCALL_FULL*,-0.327629,-492.965889,-0.11255124,153.16,-153.74,-152.07,151.38,-559.27,-557.14,-426.0,-427.95
NIRCam,NRCAS_FULL*,81.206596,-498.087413,-0.18465812,153.16,19.49,20.8,151.38,-559.27,-560.22,-428.0,-427.95
NIRCam,NRCA1_FULL,120.525464,-527.543132,-0.5627898,153.00804666643413,88.75256523180289,88.55324272992131,151.9335384225404,-559.3939142983718,-560.047202701289,-495.7733801465726,-495.28750969191157
NIRCam,NRCA2_FULL,119.589099,-459.863304,-0.21969952,151.40675148648285,88.07538146217797,88.17924963393406,150.82921859607427,-491.2595480651182,-491.6498762074632,-428.3784321543424,-428.1449201461096
NIRCam,NRCA3_FULL,51.885582,-527.952752,0.27380527,83.95214278436856,19.394197208676673,20.15388520334415,83.82498507698315,-560.1987039629685,-560.3406783320337,-495.70580875533733,-495.9037054300728
NIRCam,NRCA4_FULL,52.19455,-459.97249,0.08871159,83.90644646367483,20.285528387690952,20.723928110172498,83.65716771243606,-491.6361178011805,-491.75266835127195,-428.1323292136544,-428.34906642391235
NIRCam,NRCA5_FULL,86.039011,-493.385704,-0.07385127,151.36526227956983,20.82107789953642,22.19675563796539,149.67648900293742,-557.8926217329099,-558.7445436972159,-428.63660198379705,-428.75772639205013
NIRCam,NRCBS_FULL*,-82.120768,-496.038826,0.02984889,-20.32,-153.74,-152.07,-21.93,-558.08,-557.14,-426.0,-425.81
NIRCam,NRCB1_FULL,-120.969513,-457.788777,0.3665987,-89.54555089270278,-152.85722256539702,-152.12126159379395,-89.48456179079693,-489.6489897048961,-489.09194973082555,-425.9931961187181,-426.3889638304845
NIRCam,NRCB2_FULL,-121.154684,-525.478141,0.85955165,-89.56009882511015,-153.78465533286777,-152.38361167788736,-89.02486512988531,-558.13854778618,-557.132723570142,-493.0670160434773,-493.8903352177733
NIRCam,NRCB3_FULL,-53.139934,-457.82174,-0.43660167,-21.040866696269887,-84.65301853244497,-84.7897284842796,-21.862572909926214,-489.39435890859795,-489.676165423395,-426.397450196613,-425.78618603629997
NIRCam,NRCB4_FULL,-52.845703,-525.729321,-0.31680498,-20.33641529732308,-84.87870728866667,-84.80230084168741,-21.14170972039431,-558.0741890882522,-557.9831438065756,-493.71774418614655,-493.46778363323045
NIRCam,NRCB5_FULL,-89.596514,-491.474153,0.00805772,-24.208905857771995,-154.95772929354888,-153.42523015959873,-25.72741676905754,-556.8378734040052,-556.1576602743597,-426.8070264221044,-426.5369311748356
NIRCam,NRCA2_MASK210R,127.193333,-405.443776,0.03291198,136.99162432691557,117.42462827072826,117.4549048279501,136.98363026258892,-415.69615876420266,-415.84536310174514,-396.1055069346334,-395.96578666609673
NIRCam,NRCA5_MASK335R,107.109508,-405.277529,0.08002471,116.99963423263014,97.1343360714564,97.17709283444383,117.01152158199965,-416.0260051383135,-416.10324311547885,-395.98810197267255,-395.92544868190123
NIRCam,NRCA5_MASK430R,87.102412,-405.290646,0.1691492,97.01015491015609,77.13016301209029,77.204709017845,97.05310808537226,-416.10338844900144,-416.07284687060826,-395.933634933953,-395.98812677425667
NIRCam,NRCA4_MASKSWB,67.091245,-405.330484,0.0193364,76.8976680820536,57.27130740151601,57.29700355372138,76.88490508223107,-415.85463132230615,-415.8061466196704,-395.9911940924026,-396.0715429281855
NIRCam,NRCA5_MASKLWB,46.99339,-405.008104,0.34436503,56.87499976833945,36.89987646491812,37.03581480814013,56.98113227139517,-416.1538280956834,-415.9045842989009,-395.6896731520286,-395.98209033345444
NIRISS,NIS_CEN,-291.219,-698.181,0.56987018,-224.98210627454216,-358.86050067639883,-357.526159688729,-223.6032770469588,-765.9577527981232,-765.2996277475377,-630.4015722726242,-631.1704958260357
NIRISS,NIS_AMI1,-296.149305,-762.920072,0.56987018,-293.2010862537707,-298.4318683260007,-298.37912895882187,-293.1481474648088,-765.5972482490365,-765.5717544763169,-760.3116018921479,-760.3372740945155
NIRSpec,NRS_FULL_IFU_IFU,300.150116,-498.124969,138.89297485,302.342308772175,300.24298580343816,297.9351484666244,300.0343480795089,-498.37726965323697,-495.97182240731075,-498.0365389367182,-500.44275740461876
NIRSpec,NRS_S200A1_SLIT,332.136078,-479.224213,138.7605896,333.21847199222094,331.05988989866137,330.91604161827996,333.0745485156738,-480.31267071879483,-477.8505133892637,-477.9787456871895,-480.4409689374053
NIRSpec,NRS_S400A1_SLIT,321.871582,-477.938751,138.78276062,323.1882614308041,320.71112396752414,320.41659613860656,322.893658380218,-479.142285979341,-476.31454368414956,-476.5773257383182,-479.4051339250917
NIRSpec,NRS_S200A2_SLIT,314.984863,-489.450562,138.83282471,316.07489290274805,313.9004682798535,313.75574311970905,315.9301582892182,-490.54977481429717,-488.06307651145664,-488.1922842048079,-490.67912361269265
NIRSpec,NRS_S1600A1_SLIT,321.531952,-473.679199,138.7714386,322.65707885577405,321.6005326361006,320.40689105067094,321.4635031767894,-473.74989417958136,-472.54422436752924,-473.6085790290651,-474.8143240497637
NIRSpec,NRS_S200B1_SLIT,440.484924,-364.516174,138.15811157,441.59143039361965,439.3892748013438,439.2381312495841,441.44021234300953,-365.6012574534167,-363.14190140204715,-363.2744194640669,-365.73384222316673
NIRSpec,NRS_FULL_MSA*,378.778564,-428.160828,138.49234009,534.3638283828357,388.741887482222,226.03963395922193,369.34652301871586,-437.7295575736235,-275.5077188359918,-419.4644518715029,-583.7292852794478
NIRSpec,NRS_FULL_MSA1,466.487518,-436.169983,138.24215698,534.1272765861665,472.9876001982271,399.4996376756556,460.1281035381669,-437.9359042058044,-369.9355501760051,-434.5125917060344,-502.90432796421334
NIRSpec,NRS_FULL_MSA2,381.899292,-340.889191,138.29614258,448.48171568759733,388.7418598156216,315.8900854394103,375.1951527309608,-342.17811730715533,-275.50778240200003,-339.6911438175383,-406.6156417222269
NIRSpec,NRS_FULL_MSA3,375.819397,-516.370361,138.74208069,442.8357355381051,382.33361672779785,309.2848073162068,369.33550602009643,-518.173748131507,-449.69076098021907,-514.7658579587795,-583.7086914404017
NIRSpec,NRS_FULL_MSA4,291.77478,-420.643402,138.68983459,357.8305982516367,298.6198817327651,226.04869380134323,284.95235857764715,-421.9895378463205,-354.9898225079563,-419.47477114864495,-486.873736668457
MIRI,MIRIM_FULL*,-453.559116,-373.814447,4.83425324,-381.88670316102207,-495.80309655235345,-485.69564715306336,-373.0072993005525,-436.12747976022325,-426.8443200518293,-314.52621200476955,-323.8615662076042
MIRI,MIRIM_ILLUM,-453.559116,-373.814447,4.83425324,-421.4849636539515,-495.25199652160984,-485.1473095512826,-412.18144714289843,-433.04566255501595,-426.8926597373169,-314.5666801332848,-320.3667631889689
MIRI,MIRIM_MASK1065,-393.860902,-420.939522,4.83425324,-381.72163574463735,-413.48136671848374,-411.4475632091611,-379.70618964979775,-434.20763257536606,-431.73536843386347,-407.3319452185147,-409.960095091916
MIRI,MIRIM_MASK1140,-391.82133,-396.552957,4.83425324,-379.68850176621334,-411.42943717655817,-409.40646090300646,-377.7366766575579,-409.74131464088236,-407.1119843882205,-382.36305387776747,-385.10161812202193
MIRI,MIRIM_MASK1550,-389.891958,-372.180504,4.83425324,-377.7538766679613,-409.42445212550746,-407.4172461076485,-375.844342470798,-385.3223790029529,-382.58459173661606,-357.7844184070832,-360.58771061266117
MIRI,MIRIM_MASKLYOT,-389.731719,-337.809545,4.83425324,-375.62417103015576,-410.6914149051029,-407.9651018905955,-373.0416489848493,-357.7194581693037,-354.60840914369976,-321.1720558960333,-324.29977955977586
MIRI,MIRIM_SLIT,-415.069,-400.576,4.71028,-411.99,-416.72,-416.68,-411.95,-401.14,-400.76,-400.24,-400.62
MIRI,MIRIFU_FULL_SHCH1CNTR_CH4,-503.1285,-319.4878,0.0,-502.41,-508.81,-506.55,-500.15,-325.74,-323.78,-316.38,-318.34
FGS,FGS1_FULL,206.464,-697.97,-1.25081713,279.929118075071,137.63185042510105,135.89118620547174,275.23606762190957,-772.2775552854044,-770.3263213533222,-627.1484886793339,-627.5009839441973
FGS,FGS2_FULL,22.845,-699.489,0.19027904,92.7297530535048,-48.36984011088528,-46.446816305639885,91.8480422177417,-771.3806617258765,-773.7269686572736,-629.7673380175157,-628.3322631873733
