lat,lon,depth,time,Emiliania huxleyi,Florisphaera profunda,Umbellosphaera irregularis,temperature,no3,irradiance
32.0,-65.0,0,1,37005.25,,285.5,20.517884928164275,0.4688093040946799,21.51984214782715
32.0,-65.0,0,2,36169.333333333336,95.0,190.0,19.67432092425447,0.3590166841892755,27.688783645629883
32.0,-65.0,0,3,27540.5,,1039.0,19.53931981893476,0.347958826334118,37.49646759033203
32.0,-65.0,0,4,67994.0,,503.0,19.859499378163324,0.0665067878796509,47.98645782470703
32.0,-65.0,0,5,7034.0,,612.0,21.546048697525528,0.1221618122221673,52.86587905883789
32.0,-65.0,0,6,4940.666666666667,,1587.5,24.20555627681983,0.0502081843722105,55.07528305053711
32.0,-65.0,0,7,2198.0,,503.5,26.69615829701716,0.0849960511767664,55.84885025024414
32.0,-65.0,0,8,135.0,,5826.0,27.635173152313488,0.0618101780026869,51.05522918701172
32.0,-65.0,0,9,5330.0,126.0,7424.333333333333,27.19038340761768,0.0931306900127585,42.81103515625
32.0,-65.0,0,10,5286.0,126.0,2517.5,25.70707777901169,0.0568394243103823,32.589595794677734
32.0,-65.0,0,11,10800.333333333334,,1174.0,23.586501307994222,0.0737038187940103,24.077390670776367
32.0,-65.0,10,1,1259.0,,,20.512962358694004,0.4510753627334027,14.33611357654028
32.0,-65.0,10,12,22764.0,,664.0,22.05426240273497,0.1636737889116303,14.035435668714166
32.0,-65.0,20,3,18627.0,,378.0,19.424768924027045,0.1995431916970838,16.631898538955024
32.0,-65.0,25,1,24091.25,,267.0,20.494308118650792,0.384691600036297,7.795068939107435
32.0,-65.0,25,2,36860.5,,,19.618244540693013,0.4098936257005223,10.349881043254992
32.0,-65.0,25,4,50085.25,,708.0,19.623989014732043,0.1474773585734614,18.719937149366974
32.0,-65.0,25,5,47776.0,,3927.0,20.834395422313328,0.0546501490115503,24.79048185316688
32.0,-65.0,25,6,7357.0,,379.0,22.5899809514978,0.0382446944112627,26.421424264443147
32.0,-65.0,25,7,2507.0,,1993.5,24.72569142202344,0.3109705106157911,27.57342533590375
32.0,-65.0,25,8,871.0,,5110.5,26.58511493498308,0.0326167265818329,25.290525533129014
32.0,-65.0,25,9,4352.333333333333,168.0,6126.666666666667,26.902109305408963,0.1419580840459725,20.775260385225582
32.0,-65.0,25,10,3146.5,,881.0,25.62456218719394,0.0402572670119647,15.820582436705488
32.0,-65.0,25,11,11547.666666666666,,744.3333333333334,23.559551858097613,0.0616017459416496,10.753791198272896
32.0,-65.0,40,3,17366.0,,518.0,19.35747302064512,0.2207393464724598,7.377229557522831
32.0,-65.0,50,1,32231.666666666668,285.0,334.0,20.46184434708396,0.4524043860183642,2.823584826879074
32.0,-65.0,50,2,31290.0,132.0,,19.58893827156418,0.4408134901593142,3.868715902456617
32.0,-65.0,50,3,20959.0,497.0,83.0,19.334817462598416,0.3926831572519863,4.913251924735151
32.0,-65.0,50,4,70004.75,,262.0,19.41965000662845,0.3252525070153962,7.302811308898465
32.0,-65.0,50,5,15421.0,,376.0,19.9816074698467,0.0694510296705872,11.62504060186351
32.0,-65.0,50,6,4984.666666666667,,1762.0,20.74102152616581,0.0589186688506497,12.675226008754883
32.0,-65.0,50,7,1085.0,126.0,245.0,21.808875989983427,0.5209534687603253,13.61341874269534
32.0,-65.0,50,8,845.5,,,22.68475953369784,0.0392074010663591,12.527819224922125
32.0,-65.0,50,9,1620.6666666666667,,1865.0,23.92976276739328,0.2183753115327513,10.08178014146692
32.0,-65.0,50,10,6119.5,126.0,2631.5,24.518090148287804,0.0387823390434277,7.680083859078413
32.0,-65.0,50,11,5663.666666666667,126.0,692.5,23.46691524112371,0.0525831262862323,4.803013196791839
32.0,-65.0,50,12,55220.0,409.0,205.0,22.013356320907675,0.208559187087415,3.253285978243017
32.0,-65.0,75,1,18346.0,96.66666666666669,78.5,20.40977588118992,0.4710229892635535,1.0227788024533655
32.0,-65.0,75,2,23500.5,113.0,85.0,19.547514630741773,0.4735888643228199,1.446099976547525
32.0,-65.0,75,3,25036.0,1454.0,104.0,19.26746678544472,0.2922156766720481,1.778518435460902
32.0,-65.0,75,4,49031.5,,,19.23988544998022,0.4059126521260023,2.84889060192057
32.0,-65.0,75,5,43980.0,,,19.423889615525244,0.1618111262684483,5.451349021588758
32.0,-65.0,75,6,13878.666666666666,65.0,911.0,19.85422312005932,0.1200411116464846,6.08072270309923
32.0,-65.0,75,7,1667.5,189.0,,20.43431255786209,0.5654786252691182,6.721151529282587
32.0,-65.0,75,8,1887.5,351.0,121.5,20.833923473828943,0.0837462682403451,6.205733223168438
32.0,-65.0,75,9,5443.0,9295.0,,21.55084256245495,0.3629948156675021,4.892467720556712
32.0,-65.0,75,10,252.0,1762.0,,22.021109220678763,0.1846320362977953,3.7282880272238352
32.0,-65.0,75,11,9490.0,377.5,1888.0,22.54473920250563,0.0945232838968948,2.1451909696983447
32.0,-65.0,80,3,44554.0,126.0,126.0,19.262461492152525,0.2925476694945959,1.451430479771937
32.0,-65.0,100,1,22907.75,499.5,153.0,20.29416283736993,0.7339102721458579,0.3704781484833858
32.0,-65.0,100,2,29231.0,158.0,,19.50709796137164,0.5416520192906217,0.5405424422203879
32.0,-65.0,100,3,41179.0,456.0,91.0,19.207134255554863,0.4909354668276754,0.6437951633112732
32.0,-65.0,100,4,13194.5,8712.5,78.0,19.069877400731656,0.5241166280700285,1.111377155784074
32.0,-65.0,100,5,13507.0,,,19.09551245959814,0.5076560101433834,2.5563098807941365
32.0,-65.0,100,6,15303.0,860.0,,19.335894966311223,0.3591216766998469,2.9171226269612336
32.0,-65.0,100,7,429.5,2079.5,,19.656820967563565,0.885138900274212,3.318334558967193
32.0,-65.0,100,8,1353.0,64265.0,,19.811335544196776,0.1849439812644156,3.074048575072404
32.0,-65.0,100,9,2092.0,23330.33333333333,271.0,20.28518965079418,0.8163477477429125,2.3742077352230986
32.0,-65.0,100,10,3792.0,34741.0,230.5,20.444517844372868,0.595228456358239,1.809893208068248
32.0,-65.0,100,11,1173.3333333333333,18603.666666666668,,20.93508015961566,0.3268589024466324,0.9581161050211388
32.0,-65.0,100,12,28774.0,226.0,339.0,21.07289045860783,0.2648405345022587,0.5232300407558591
32.0,-65.0,140,3,6922.0,378.0,,19.023386248403536,0.961369399373608,0.1266632569142256
32.0,-65.0,150,1,37471.0,297.0,,19.473924070548858,1.7173719028875871,0.048609858360581
32.0,-65.0,150,2,15631.0,,87.0,19.194656185959825,1.1313424380776471,0.0755253523930368
32.0,-65.0,150,3,15913.0,245.0,,18.96543166327187,1.099615973712429,0.0843580216630823
32.0,-65.0,150,4,21334.25,2618.0,,18.800082276698184,1.014966104401368,0.1691347523786706
32.0,-65.0,150,5,1760.0,153.0,,18.70890544129796,1.3093219323976932,0.562124506094044
32.0,-65.0,150,6,4672.0,3398.0,126.0,18.795417064066456,1.3920777377548523,0.6713572140529527
32.0,-65.0,150,7,755.0,3649.5,,18.868385453140107,2.285450703859259,0.8088595857777786
32.0,-65.0,150,8,,14666.0,,18.92192072334832,1.657301446453383,0.7543032408310808
32.0,-65.0,150,9,2845.0,12674.666666666666,71.0,19.07918008256445,1.9580869068830231,0.5591137964622406
32.0,-65.0,150,10,135.0,20039.0,,19.10528298039846,1.659985312474893,0.4265205282543164
32.0,-65.0,150,11,184.5,13515.0,,19.262838439984662,1.3737776917638875,0.191127201423066
32.0,-65.0,200,1,27249.0,,,18.812282684874727,2.6818675132781395,0.0063780234799508
32.0,-65.0,200,2,10837.666666666666,531.6666666666666,,18.77047793295604,1.6949187076263352,0.0105525087552084
32.0,-65.0,200,3,9314.0,378.0,,18.69022224600546,1.826776084009191,0.0110536335537338
32.0,-65.0,200,4,3488.5,587.3333333333334,,18.57470696192905,1.6547645385765253,0.0257397448861654
32.0,-65.0,200,5,252.0,,,18.474309599860128,1.8866345866038148,0.1236094116466467
32.0,-65.0,200,6,1510.3333333333333,378.0,,18.50053187709697,2.08548606592757,0.1545085916838736
32.0,-65.0,200,7,252.0,126.0,,18.53787568417434,2.904472088631335,0.1971633112570274
32.0,-65.0,200,8,,12082.0,,18.51985688241823,2.6217761560968134,0.1850892610292829
32.0,-65.0,200,9,126.0,1048.6666666666667,,18.603512838370584,2.505872727181744,0.1316684436482323
32.0,-65.0,200,10,801.0,6762.5,,18.60171047828653,2.207370016010984,0.1005140856992935
32.0,-65.0,200,11,126.0,3440.0,,18.674998985516503,2.2197786374858417,0.0381264931592056
32.0,-65.0,200,12,503.0,3398.0,,18.7052995109482,2.1031558587587096,0.013534229270394
