S_melt_curve_solid,P_melt_curve_solid,S_melt_curve_liquid,P_melt_curve_liquid
1.4957e-06,1460900.0,0.00051895,1460900.0
1.5294000000000001e-06,933710.0,0.0004889100000000001,933710.0
1.5647e-06,635740.0,0.00046554,635740.0
1.817e-06,452220.0,0.00044681,452220.0
2.7833e-06,332320.0,0.00043193,332320.0
5.4982e-06,250480.0,0.00042117,250480.0
1.1938e-05,192700.0,0.00041597000000000004,192700.0
2.5576e-05,150790.0,0.00041945,150790.0
5.175e-05,119710.0,0.00043671,119710.0
9.690999999999999e-05,96237.0,0.00047399000000000003,96237.0
0.00016633000000000002,78225.0,0.00053643,78225.0
0.00026184,64213.0,0.00062575,64213.0
0.00038137,53175.0,0.00073974,53175.0
0.0005201299999999999,44380.0,0.00087353,44380.0
0.00067234,37298.0,0.0010213,37298.0
0.0008325299999999999,31543.0,0.0011774,31543.0
0.00099613,26825.0,0.0013373,26825.0
0.0011596,22928.0,0.0014975,22928.0
0.0013205,19687.0,0.0016554,19687.0
0.0014770999999999999,16974.0,0.0018093,16974.0
0.0016282,14692.0,0.0019579000000000003,14692.0
0.0017731,12760.0,0.0021005,12760.0
0.0019114000000000002,11119.0,0.0022368,11119.0
0.002043,9717.8,0.0023665,9717.8
0.0021677,8516.9,0.0024896,8516.9
0.0022858,7483.9,0.0026062,7483.9
0.0023972,6592.1,0.0027163,6592.1
0.0025023000000000003,5819.9,0.0028201999999999997,5819.9
0.0026011999999999997,5149.1,0.0029181,5149.1
0.002694,4564.8,0.0030101,4564.8
0.0027811999999999997,4054.4,0.0030965,4054.4
0.0028628,3607.6,0.0031775,3607.6
0.0029392,3215.5,0.0032534,3215.5
0.0030105,2870.5,0.0033243,2870.5
0.0030770999999999997,2566.5,0.0033905,2566.5
0.0031389,2298.0,0.0034522,2298.0
0.0031964000000000003,2060.3,0.0035096,2060.3
0.0032497,1849.7,0.0035629,1849.7
0.003299,1662.7,0.0036123,1662.7
0.0033445,1496.4,0.0036579,1496.4
0.0033863,1348.3,0.0036999,1348.3
0.0034246999999999997,1216.1,0.0037386,1216.1
0.0034597,1098.1,0.003774,1098.1
0.0034916,992.51,0.0038064,992.51
0.0035204,897.96,0.0038358000000000003,897.96
0.0035464,813.19,0.0038624,813.19
0.0035697,737.09,0.0038863,737.09
0.0035904,668.7,0.0039077,668.7
0.0036086,607.18,0.0039268,607.18
0.0036244000000000003,551.78,0.0039435,551.78
0.0036381,501.83,0.003958,501.83
0.0036495,456.77,0.0039705,456.77
0.003659,416.07,0.003981,416.07
0.0036665,379.29,0.0039896,379.29
0.0036722,346.01,0.0039965,346.01
0.0036761999999999997,315.87,0.0040016999999999995,315.87
0.0036785,288.56,0.0040053,288.56
0.0036793000000000004,263.79,0.0040074,263.79
0.0036785999999999998,241.3,0.0040081,241.3
0.0036764000000000002,220.87,0.0040075,220.87
0.003673,202.3,0.0040055,202.3
0.0036683,185.4,0.0040024,185.4
0.0036624,170.01,0.0039981,170.01
0.0036554,155.97,0.0039928,155.97
0.0036473,143.18,0.0039865,143.18
0.0036382,131.49,0.0039792,131.49
0.0036282,120.81,0.0039711,120.81
0.0036173000000000004,111.04,0.0039621,111.04
0.0036055,102.09,0.0039524,102.09
0.003593,93.891,0.0039419,93.891
0.0035797,86.367,0.0039308,86.367
0.0035656999999999998,79.454,0.0039191,79.454
0.0035510999999999997,73.097,0.0039068,73.097
0.0035359000000000002,67.243,0.0038939,67.243
0.0035202,61.845,0.0038806,61.845
0.0035039,56.86,0.0038668,56.86
0.0034871,52.25,0.0038526,52.25
0.0034699,47.98,0.003838,47.98
0.0034523,44.018,0.0038231,44.018
0.0034343000000000004,40.336,0.0038079,40.336
0.003416,36.908,0.0037925,36.908
0.0033974,33.709,0.0037767,33.709
0.0033785,30.718,0.0037608000000000003,30.718
0.0033593000000000004,27.917,0.0037446999999999997,27.917
0.0033399000000000002,25.286,0.0037285,25.286
0.0033203,22.811,0.0037121,22.811
0.0033006,20.476,0.0036956,20.476
0.0032806999999999997,18.268,0.003679,18.268
0.0032606999999999996,16.174,0.0036624,16.174
0.0032405999999999997,14.185,0.0036457,14.185
0.0032204,12.29,0.003629,12.29
0.0032002,10.481,0.0036124,10.481
0.0031798,8.7715,0.0035964,8.7715
0.0031589,7.1776,0.0035807,7.1776
0.0031375,5.7097,0.0035653,5.7097
0.0031159,4.3635,0.0035499,4.3635
0.0030941999999999996,3.1285,0.0035348000000000003,3.1285
0.0030721999999999998,1.9953,0.0035196999999999997,1.9953
0.0030501,0.95505,0.0035048,0.95505
0.0030277,2.2403e-10,0.00349,2.2403e-10
0.002931,-3.2256,0.0034305,-3.2256
0.0028182,-5.649,0.0033734,-5.649
0.0026815999999999997,-7.3521,0.0033594000000000002,-7.3521
